season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,cluster
2026,Lauri Markkanen,markkla01,28.0,UTA,PF,28,28.0,995.0,21.3,0.615,0.417,0.356,6.0,15.5,10.7,9.9,1.4,1.1,5.7,27.6,2.6,0.2,2.8,0.137,4.8,-2.0,2.7,1.2,1
2026,Jaden McDaniels,mcdanja02,25.0,MIN,PF,32,32.0,1020.0,13.5,0.601,0.298,0.199,4.2,11.5,7.9,12.3,1.5,2.4,12.6,18.7,1.0,1.2,2.2,0.103,-1.3,0.4,-0.9,0.3,2
2026,Josh Minott,minotjo01,23.0,BOS,PF,28,10.0,508.0,15.5,0.65,0.554,0.2,8.4,16.6,12.5,8.2,2.3,2.2,11.3,13.5,1.1,0.7,1.7,0.161,0.9,1.0,1.9,0.5,2
2026,Evan Mobley,mobleev01,24.0,CLE,PF,29,27.0,957.0,18.7,0.576,0.29,0.372,7.9,21.6,14.6,17.5,1.3,4.7,12.3,22.4,1.2,1.4,2.6,0.13,1.3,1.2,2.5,1.1,0
2026,Collin Murray-Boyles,murraco01,20.0,TOR,PF,28,4.0,519.0,13.3,0.577,0.247,0.247,13.3,12.0,12.7,10.6,1.9,2.6,16.6,16.3,0.4,0.7,1.1,0.098,-1.9,0.6,-1.3,0.1,0
2026,Keegan Murray,murrake02,25.0,SAC,PF,16,15.0,586.0,12.2,0.507,0.37,0.167,5.0,13.9,9.3,5.7,1.8,4.0,6.8,18.0,-0.1,0.4,0.3,0.022,-2.1,-0.5,-2.6,-0.1,2
2026,Bobby Portis,portibo01,30.0,MIL,PF,34,5.0,799.0,16.5,0.589,0.378,0.099,6.3,24.0,15.3,9.2,1.2,0.6,8.9,22.9,0.6,0.8,1.4,0.087,1.0,-1.6,-0.5,0.3,1
2026,Quinten Post,postqu01,25.0,GSW,PF,34,20.0,619.0,12.7,0.549,0.655,0.087,6.2,18.7,12.4,11.7,1.5,2.7,10.2,18.0,0.3,0.9,1.2,0.093,-0.9,0.7,-0.2,0.3,2
2026,Julius Randle,randlju01,31.0,MIN,PF,34,34.0,1146.0,20.4,0.599,0.305,0.437,5.4,17.1,11.4,26.7,1.6,0.4,12.0,26.5,2.7,1.4,4.2,0.174,2.8,0.4,3.2,1.5,1
2026,Pascal Siakam,siakapa01,31.0,IND,PF,33,33.0,1115.0,19.1,0.561,0.267,0.378,5.2,16.1,10.4,19.9,1.8,1.1,8.8,28.5,1.1,1.0,2.1,0.091,2.4,-0.6,1.8,1.1,1
2026,Jabari Smith Jr.,smithja05,22.0,HOU,PF,29,29.0,994.0,14.1,0.585,0.493,0.209,4.9,17.7,11.4,7.6,1.1,2.2,9.5,18.1,1.6,1.1,2.8,0.133,0.1,-0.1,0.0,0.5,2
2026,Dean Wade,wadede01,29.0,CLE,PF,33,12.0,762.0,9.9,0.538,0.743,0.18,3.8,15.4,9.5,8.8,1.5,1.6,4.3,10.2,0.8,0.8,1.6,0.1,-1.8,0.8,-1.0,0.2,2
2026,Jarace Walker,walkeja02,22.0,IND,PF,34,12.0,814.0,7.6,0.481,0.53,0.247,1.9,18.9,10.0,11.3,1.1,1.3,15.4,19.4,-1.3,0.7,-0.6,-0.035,-4.1,-1.0,-5.1,-0.7,2
2026,Jordan Walsh,walshjo01,21.0,BOS,PF,27,19.0,545.0,15.9,0.701,0.418,0.238,8.0,17.9,13.0,6.2,2.7,2.8,11.2,12.0,1.2,0.8,2.1,0.181,-0.2,1.6,1.4,0.5,2
2026,P.J. Washington,washipj01,27.0,DAL,PF,28,28.0,895.0,13.5,0.544,0.342,0.271,5.1,20.1,12.8,9.1,1.5,3.8,14.1,21.7,-0.5,1.4,0.8,0.044,-1.9,0.9,-1.0,0.2,1
2026,Patrick Williams,willipa01,24.0,CHI,PF,31,1.0,584.0,8.9,0.504,0.521,0.184,4.3,11.9,8.2,8.5,1.9,1.3,12.0,16.6,-0.3,0.4,0.1,0.01,-3.3,-0.9,-4.1,-0.3,2
2026,Zion Williamson,willizi01,25.0,NOP,PF,19,12.0,542.0,24.7,0.625,0.011,0.67,9.5,12.7,11.0,19.9,1.9,1.8,12.4,30.2,1.4,0.2,1.7,0.148,4.7,-0.9,3.8,0.8,1
2025,Santi Aldama,aldamsa01,24.0,MEM,PF,65,16.0,1660.0,16.8,0.588,0.503,0.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.9,2.0,5.0,0.144,2.5,0.7,3.2,2.2,2
2025,Kyle Anderson,anderky01,31.0,2TM,PF,61,4.0,1002.0,15.1,0.538,0.231,0.215,5.7,16.8,11.2,20.7,2.0,3.1,10.0,15.9,1.3,1.5,2.8,0.135,-0.6,2.2,1.5,0.9,0
2025,Kyle Anderson,anderky01,31.0,GSW,PF,36,3.0,541.0,14.8,0.522,0.308,0.16,5.2,17.0,10.9,21.2,2.3,3.5,10.0,15.7,0.6,0.9,1.5,0.132,-0.3,2.6,2.3,0.6,2
2025,Giannis Antetokounmpo,antetgi01,30.0,MIL,PF,67,67.0,2289.0,30.5,0.625,0.048,0.536,7.3,29.7,19.0,36.0,1.2,3.2,11.2,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,1
2025,OG Anunoby,anunoog01,27.0,NYK,PF,74,74.0,2706.0,15.4,0.591,0.448,0.22,4.2,11.0,7.6,8.5,2.0,2.2,8.3,19.7,3.7,2.8,6.5,0.116,0.7,0.1,0.7,1.9,2
2025,Paolo Banchero,banchpa01,22.0,ORL,PF,46,46.0,1582.0,20.0,0.551,0.299,0.423,3.5,22.4,12.5,26.0,1.1,1.7,11.2,33.6,1.1,2.4,3.5,0.106,3.4,0.2,3.5,2.2,1
2025,Harrison Barnes,barneha02,32.0,SAS,PF,82,82.0,2230.0,14.9,0.656,0.527,0.291,4.7,10.3,7.4,8.6,0.8,0.6,6.1,15.7,5.0,0.5,5.6,0.12,1.7,-1.7,0.0,1.2,2
2025,Scottie Barnes,barnesc01,23.0,TOR,PF,65,65.0,2134.0,17.8,0.523,0.263,0.284,5.3,20.2,12.6,27.7,2.1,2.8,13.4,27.0,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3,1
2025,Nicolas Batum,batumni01,36.0,LAC,PF,78,8.0,1367.0,10.3,0.633,0.853,0.088,4.0,14.0,9.0,7.8,1.9,2.6,12.1,9.0,1.5,2.0,3.5,0.124,-1.2,2.0,0.8,1.0,2
2025,Chris Boucher,bouchch01,32.0,TOR,PF,50,0.0,862.0,18.7,0.615,0.522,0.235,8.5,19.6,13.9,5.9,1.3,2.8,6.6,21.2,1.7,1.0,2.7,0.148,2.9,-0.6,2.3,0.9,1
2025,Miles Bridges,bridgmi02,26.0,CHO,PF,64,64.0,2029.0,17.7,0.541,0.413,0.233,3.7,21.9,12.6,21.7,1.1,2.2,10.2,28.0,1.3,1.8,3.2,0.075,2.3,-0.5,1.8,2.0,1
2025,Jimmy Butler,butleji01,35.0,MIA,PF,25,25.0,766.0,22.8,0.638,0.137,0.612,8.0,10.9,9.4,24.2,1.8,1.3,8.2,21.1,2.9,0.8,3.7,0.233,4.2,0.6,4.8,1.3,1
2025,Toumani Camara,camarto01,24.0,POR,PF,78,78.0,2548.0,12.5,0.572,0.503,0.176,7.2,12.1,9.6,9.6,2.2,1.8,12.4,14.4,2.5,2.6,5.2,0.097,-0.9,0.8,-0.1,1.2,2
2025,Brandon Clarke,clarkbr01,28.0,MEM,PF,64,18.0,1207.0,17.6,0.638,0.045,0.229,11.3,17.3,14.3,7.4,2.0,2.7,8.9,15.3,2.7,1.7,4.4,0.174,0.0,0.8,0.8,0.9,0
2025,Noah Clowney,clownno01,20.0,BRK,PF,46,20.0,1042.0,9.2,0.516,0.702,0.215,4.5,15.8,9.9,5.9,1.1,2.0,10.2,19.0,-0.3,0.8,0.5,0.023,-3.1,-1.0,-4.1,-0.5,2
2025,John Collins,collijo01,27.0,UTA,PF,40,31.0,1220.0,19.0,0.628,0.279,0.309,7.9,20.9,14.4,10.8,1.5,3.1,14.6,24.2,1.7,0.8,2.5,0.098,1.4,-0.4,1.0,0.9,1
2025,Zach Collins,colliza01,27.0,2TM,PF,64,12.0,977.0,16.0,0.605,0.351,0.258,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1,1.7,1.0,2.7,0.132,-0.8,0.8,0.0,0.5,0
2025,Zach Collins,colliza01,27.0,CHI,PF,28,8.0,552.0,17.2,0.635,0.353,0.253,12.4,23.0,17.8,14.6,1.3,2.2,16.4,17.1,1.1,0.6,1.7,0.149,-0.1,0.2,0.1,0.3,0
2025,Anthony Davis,davisan02,31.0,2TM,PF,51,51.0,1706.0,26.3,0.588,0.136,0.405,9.1,29.1,19.4,18.3,1.7,6.0,9.5,30.4,3.7,3.0,6.7,0.188,3.9,1.5,5.4,3.2,1
2025,Kevin Durant,duranke01,36.0,PHO,PF,62,62.0,2265.0,21.2,0.642,0.331,0.321,1.2,16.9,9.2,19.6,1.1,3.2,12.9,28.7,4.0,1.2,5.2,0.111,3.9,-0.7,3.2,3.0,1
2025,Tari Eason,easonta01,23.0,HOU,PF,57,16.0,1420.0,18.5,0.567,0.329,0.186,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4,2.1,2.9,5.0,0.169,1.0,2.6,3.6,2.0,0
2025,Dorian Finney-Smith,finnedo01,31.0,2TM,PF,63,40.0,1818.0,10.1,0.604,0.722,0.103,5.0,10.4,7.7,6.9,1.6,1.2,11.0,12.3,1.5,1.4,2.9,0.078,-1.1,0.1,-1.0,0.5,2
