season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,cluster
2026,Tre Johnson,johnstr03,19.0,WAS,SG,25,7.0,587.0,12.4,0.587,0.522,0.139,2.3,10.2,6.3,10.4,1.0,1.5,12.2,21.1,0.2,0.0,0.2,0.012,-0.1,-2.4,-2.5,-0.1,2
2026,Luke Kennard,kennalu01,29.0,ATL,SG,31,0.0,627.0,11.3,0.645,0.611,0.172,2.5,8.6,5.5,14.4,1.7,0.1,14.2,13.1,0.7,0.4,1.1,0.086,-1.4,-0.5,-1.8,0.0,2
2026,Pelle Larsson,larsspe01,24.0,MIA,SG,27,18.0,598.0,12.8,0.589,0.443,0.324,2.6,9.7,6.2,19.0,1.1,0.9,10.6,16.1,0.9,0.6,1.4,0.116,-1.0,0.5,-0.5,0.2,0
2026,Zach LaVine,lavinza01,30.0,SAC,SG,23,23.0,754.0,14.3,0.618,0.475,0.245,0.9,9.6,5.1,10.9,1.1,0.5,12.0,24.0,0.5,0.1,0.6,0.037,0.1,-2.3,-2.2,0.0,2
2026,Caris LeVert,leverca01,31.0,DET,SG,26,0.0,523.0,12.2,0.557,0.494,0.293,1.5,8.1,4.8,18.4,2.0,2.8,15.5,18.1,0.3,0.7,0.9,0.085,-0.8,0.7,-0.1,0.3,1
2026,Caleb Love,loveca01,24.0,POR,SG,26,0.0,510.0,9.7,0.478,0.604,0.104,3.3,10.1,6.6,16.5,1.2,0.5,9.4,21.8,-0.1,0.3,0.1,0.013,-2.0,-1.9,-4.0,-0.3,2
2026,Terance Mann,mannte01,29.0,BRK,SG,28,28.0,739.0,11.2,0.557,0.43,0.246,5.7,9.8,7.7,20.7,1.4,1.0,13.1,13.3,0.9,0.5,1.4,0.093,-1.9,0.2,-1.7,0.1,1
2026,Tyrese Martin,martity01,26.0,BRK,SG,27,6.0,543.0,11.1,0.501,0.579,0.119,5.5,12.9,9.0,18.2,1.6,0.5,12.0,19.2,-0.1,0.4,0.4,0.031,-1.5,-0.9,-2.5,-0.1,2
2026,Miles McBride,mcbrimi01,25.0,NYK,SG,22,9.0,583.0,13.9,0.622,0.687,0.154,2.9,7.9,5.3,12.1,1.2,0.9,6.5,16.5,1.3,0.3,1.6,0.132,1.8,-0.6,1.3,0.5,2
2026,CJ McCollum,mccolcj01,34.0,WAS,SG,32,32.0,990.0,14.9,0.563,0.471,0.205,1.9,9.5,5.7,18.1,1.1,0.8,8.8,24.5,0.9,-0.1,0.8,0.04,0.7,-2.7,-2.0,0.0,0
2026,Ajay Mitchell,mitchaj01,23.0,OKC,SG,32,7.0,823.0,17.6,0.588,0.293,0.322,2.8,11.9,7.6,19.3,2.7,1.4,10.9,22.5,1.3,1.8,3.0,0.176,0.3,2.0,2.3,0.9,0
2026,Donovan Mitchell,mitchdo01,29.0,CLE,SG,32,32.0,1082.0,23.7,0.63,0.479,0.287,2.6,12.2,7.3,27.9,2.1,0.8,11.8,32.6,2.7,1.2,3.9,0.172,6.1,0.1,6.2,2.3,0
2026,Malik Monk,monkma01,27.0,SAC,SG,28,0.0,619.0,13.1,0.555,0.449,0.185,1.7,8.7,5.1,15.4,1.8,1.6,11.3,23.0,0.0,0.2,0.2,0.016,-0.5,-1.3,-1.8,0.0,0
2026,Moses Moody,moodymo01,23.0,GSW,SG,32,21.0,788.0,12.2,0.563,0.658,0.206,4.2,11.0,7.6,9.4,1.8,2.6,9.5,18.1,0.5,1.0,1.5,0.09,-0.8,0.1,-0.7,0.3,2
2026,Josh Okogie,okogijo01,27.0,HOU,SG,30,21.0,627.0,11.2,0.598,0.527,0.253,7.0,8.4,7.7,5.8,2.6,0.9,13.3,12.4,0.7,0.7,1.5,0.112,-1.4,1.2,-0.2,0.3,1
2026,Isaac Okoro,okorois01,25.0,CHI,SG,25,25.0,606.0,10.6,0.606,0.438,0.237,5.4,6.2,5.8,7.7,1.0,2.0,8.8,14.0,0.7,0.2,0.9,0.074,-2.4,-1.1,-3.5,-0.2,2
2026,Brandin Podziemski,podzibr01,22.0,GSW,SG,34,11.0,933.0,13.7,0.598,0.509,0.23,2.8,14.9,8.8,17.5,1.8,0.6,12.8,18.4,1.0,1.2,2.1,0.109,-0.3,0.4,0.1,0.5,2
2026,Norman Powell,powelno01,32.0,MIA,SG,28,28.0,874.0,19.3,0.622,0.425,0.367,1.3,11.7,6.6,13.3,2.0,0.7,9.2,27.5,1.5,1.1,2.6,0.145,2.5,0.4,3.0,1.1,0
2026,Austin Reaves,reaveau01,27.0,LAL,SG,23,22.0,812.0,23.0,0.666,0.456,0.528,2.4,14.8,8.7,28.0,1.3,0.6,14.0,28.4,2.7,0.5,3.1,0.185,5.2,-1.0,4.1,1.3,0
2026,Will Richard,richawi02,23.0,GSW,SG,29,12.0,560.0,14.3,0.679,0.617,0.26,6.0,9.6,7.8,8.8,2.7,0.3,11.4,14.6,1.0,0.7,1.7,0.147,-0.3,1.1,0.8,0.4,2
2026,Collin Sexton,sextoco01,27.0,CHO,SG,25,11.0,611.0,16.9,0.608,0.323,0.387,2.3,7.7,5.0,28.2,1.4,0.7,15.6,25.6,1.0,0.2,1.3,0.098,1.2,-1.7,-0.4,0.2,0
2026,Shaedon Sharpe,sharpsh01,22.0,POR,SG,30,24.0,883.0,15.8,0.544,0.33,0.256,4.3,12.3,8.2,14.5,2.5,0.5,13.3,31.5,-0.3,0.8,0.5,0.027,-0.1,-1.1,-1.2,0.2,0
2026,Ben Sheppard,sheppbe01,24.0,IND,SG,23,11.0,567.0,7.6,0.475,0.591,0.136,3.2,14.4,8.5,10.7,1.2,0.5,8.4,13.2,-0.1,0.4,0.2,0.021,-3.8,-0.4,-4.2,-0.3,2
2026,Reed Sheppard,sheppre01,21.0,HOU,SG,30,4.0,773.0,17.5,0.593,0.579,0.118,1.3,11.3,6.4,18.8,3.1,2.1,9.6,20.2,1.8,1.1,2.9,0.178,2.4,2.2,4.6,1.3,1
2026,Anfernee Simons,simonan01,26.0,BOS,SG,32,0.0,758.0,14.0,0.563,0.572,0.165,1.9,8.6,5.3,13.8,1.1,0.5,7.7,22.8,1.1,0.4,1.6,0.098,0.4,-1.4,-1.0,0.2,2
2026,Marcus Smart,smartma01,31.0,LAL,SG,22,15.0,598.0,10.3,0.552,0.665,0.249,2.8,8.3,5.6,14.0,2.6,1.1,15.8,16.4,0.2,0.5,0.6,0.049,-2.7,0.1,-2.5,-0.1,1
2026,Dru Smith,smithdr01,28.0,MIA,SG,33,1.0,583.0,14.7,0.538,0.435,0.294,5.0,10.1,7.6,20.0,4.1,1.6,13.4,16.2,0.5,1.1,1.5,0.126,-1.2,3.9,2.6,0.7,1
2026,Cam Spencer,spencca01,25.0,MEM,SG,32,4.0,740.0,17.8,0.691,0.639,0.247,1.6,9.3,5.5,29.9,1.6,0.3,14.0,18.4,2.0,0.7,2.7,0.175,3.3,0.2,3.6,1.0,0
2026,Gary Trent Jr.,trentga02,27.0,MIL,SG,32,17.0,839.0,8.2,0.537,0.696,0.118,0.5,5.2,2.9,8.1,1.5,0.2,7.4,15.7,0.0,0.4,0.4,0.022,-3.1,-1.4,-4.5,-0.5,2
2026,Jaylon Tyson,tysonja01,23.0,CLE,SG,30,19.0,825.0,16.0,0.634,0.432,0.14,7.9,13.7,10.7,9.9,1.8,1.9,10.4,17.8,1.4,0.9,2.4,0.138,0.7,0.1,0.8,0.6,2
2026,Devin Vassell,vassede01,25.0,SAS,SG,32,32.0,1020.0,12.8,0.561,0.563,0.171,1.6,12.1,6.9,10.4,1.4,1.3,6.6,18.8,1.0,1.1,2.1,0.101,-0.1,0.0,0.0,0.5,2
2026,Cason Wallace,wallaca01,22.0,OKC,SG,33,28.0,910.0,11.4,0.543,0.57,0.085,3.4,8.6,6.2,10.5,3.8,0.9,10.6,12.9,0.4,2.1,2.5,0.131,-2.3,3.4,1.1,0.7,1
2026,Ja'Kobe Walter,walteja01,21.0,TOR,SG,32,7.0,570.0,10.2,0.577,0.645,0.206,4.6,8.4,6.5,6.2,2.6,0.7,10.1,14.0,0.3,0.7,1.0,0.088,-2.8,1.3,-1.5,0.1,2
2026,Jaylen Wells,wellsja01,22.0,MEM,SG,33,33.0,914.0,11.4,0.561,0.505,0.275,3.3,10.5,7.0,9.3,1.7,0.3,8.9,18.2,0.5,0.9,1.4,0.073,-2.1,-0.2,-2.3,-0.1,2
2026,Derrick White,whitede01,31.0,BOS,SG,31,31.0,1043.0,17.3,0.539,0.597,0.188,2.5,11.6,7.0,21.7,2.0,4.4,10.0,24.3,1.4,1.2,2.6,0.121,2.8,0.5,3.2,1.4,0
2025,Ochai Agbaji,agbajoc01,24.0,TOR,SG,64,45.0,1739.0,12.0,0.601,0.474,0.09,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,1.6,1.5,3.1,0.087,-0.9,0.2,-0.7,0.5,2
2025,Nickeil Alexander-Walker,alexani01,26.0,MIN,SG,82,10.0,2073.0,11.6,0.579,0.601,0.192,2.9,11.1,7.1,15.0,1.2,1.5,12.9,16.0,2.0,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8,2
2025,Grayson Allen,allengr01,29.0,PHO,SG,64,7.0,1544.0,13.7,0.631,0.716,0.233,2.5,11.3,7.0,12.5,1.7,1.2,12.2,17.6,2.0,0.6,2.5,0.079,0.7,-1.0,-0.3,0.7,2
2025,Desmond Bane,banede01,26.0,MEM,SG,69,68.0,2205.0,17.9,0.6,0.411,0.194,3.0,16.9,10.0,23.6,1.7,1.2,13.3,23.3,4.0,2.6,6.5,0.142,2.6,0.6,3.2,2.9,0
