season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,cluster
2026,Jalen Johnson,johnsja05,24.0,ATL,SF,31,31.0,1095.0,23.1,0.623,0.258,0.337,4.5,27.9,16.2,36.1,1.9,1.2,15.2,26.8,2.5,1.5,3.9,0.172,4.2,1.5,5.7,2.1,3
2026,Keldon Johnson,johnske04,26.0,SAS,SF,33,0.0,764.0,20.5,0.671,0.323,0.316,10.5,19.8,15.2,9.0,1.3,0.4,8.4,19.7,2.3,0.9,3.3,0.204,3.3,-0.4,3.0,1.0,2
2026,Herbert Jones,joneshe01,27.0,NOP,SF,22,22.0,616.0,10.2,0.517,0.464,0.165,3.9,10.6,7.2,11.4,2.9,1.1,12.2,16.0,0.0,0.4,0.3,0.027,-3.3,0.1,-3.2,-0.2,0
2026,Spencer Jones,jonessp01,24.0,DEN,SF,29,18.0,605.0,10.7,0.661,0.564,0.282,7.3,7.4,7.4,5.8,2.2,1.5,13.2,10.8,0.8,0.5,1.3,0.103,-1.2,-0.3,-1.6,0.1,2
2026,Kon Knueppel,knuepko01,20.0,CHO,SF,32,31.0,1059.0,16.0,0.644,0.61,0.18,3.1,14.4,8.8,16.9,1.0,0.6,13.7,22.0,1.8,0.5,2.2,0.101,2.3,-1.4,1.0,0.8,1
2026,Kawhi Leonard,leonaka01,34.0,LAC,SF,22,22.0,745.0,26.8,0.629,0.34,0.311,3.8,18.0,11.1,19.4,3.1,1.7,8.5,31.5,2.1,0.9,3.0,0.196,6.6,0.8,7.5,1.8,3
2026,Naji Marshall,marshna01,28.0,DAL,SF,34,13.0,967.0,15.4,0.637,0.323,0.413,3.3,14.2,8.9,13.0,1.7,0.3,10.3,17.4,1.6,1.1,2.7,0.136,-0.4,0.8,0.5,0.6,1
2026,Bennedict Mathurin,mathube01,23.0,IND,SF,23,23.0,752.0,13.0,0.583,0.463,0.389,2.6,16.1,9.0,10.3,1.0,0.5,13.3,23.5,0.2,0.5,0.7,0.044,-1.1,-1.7,-2.9,-0.2,1
2026,Khris Middleton,middlkh01,34.0,WAS,SF,21,21.0,521.0,11.5,0.531,0.28,0.234,4.0,12.8,8.5,19.1,1.5,1.3,14.2,18.1,0.1,0.1,0.2,0.021,-2.7,-1.4,-4.1,-0.3,0
2026,Brandon Miller,millebr02,23.0,CHO,SF,17,17.0,515.0,14.1,0.517,0.468,0.225,4.0,10.5,7.3,18.0,1.5,3.2,11.3,29.5,-0.1,0.3,0.2,0.019,-1.0,-1.7,-2.7,-0.1,3
2026,Trey Murphy III,murphtr02,25.0,NOP,SF,33,33.0,1168.0,18.2,0.629,0.486,0.252,3.8,15.3,9.4,14.7,2.2,0.6,10.6,21.4,2.3,0.6,2.9,0.118,2.5,-0.9,1.7,1.1,3
2026,Kris Murray,murrakr01,25.0,POR,SF,31,8.0,794.0,8.8,0.546,0.432,0.213,7.4,9.9,8.6,6.1,2.0,1.2,15.0,10.1,0.3,0.6,0.9,0.056,-2.8,0.5,-2.3,-0.1,2
2026,Svi Mykhailiuk,mykhasv01,28.0,UTA,SF,30,30.0,743.0,10.7,0.622,0.664,0.065,3.0,8.4,5.6,11.0,1.1,0.4,10.2,13.5,0.8,-0.1,0.7,0.046,-0.2,-1.5,-1.8,0.0,1
2026,Royce O'Neale,onealro01,32.0,PHO,SF,33,28.0,970.0,11.3,0.607,0.809,0.047,2.6,16.6,9.4,12.7,2.1,0.7,15.5,14.4,0.7,1.1,1.8,0.089,-0.5,0.8,0.3,0.6,1
2026,Michael Porter Jr.,portemi01,27.0,BRK,SF,26,26.0,858.0,21.9,0.629,0.496,0.243,4.3,22.8,13.1,19.4,1.4,0.5,10.1,29.8,1.6,0.9,2.5,0.139,5.7,-0.5,5.2,1.6,3
